Asymptotic Complexity;Asymptotic Complexity.png
Charakterizace instance problému;Charakterizace instance problému.png
Charakterizace problému;Charakterizace problému.png
Combinatory problems;Combinatory problems.png
Configuration variables;Configuration variables.png
Instance encoding;Instance encoding.png
Knapsack problem;Knapsack problem.png
Konfigurace;Konfigurace.png
Konfigurační proměnné;Konfigurační proměnné.png
Optimální řešení;Optimální řešení.png
Possibilities of solving combinatorial problems;Possibilities of solving combinatorial problems.png
SAT;SAT.png
Suboptimální řešení;Suboptimální řešení.png
Types of Combinatorial problems 2;Types of Combinatorial problems 2.png
Types of combinatorial problems;Types of combinatorial problems.png
Verze optimalizačních problémů;Verze optimalizačních problémů.png
Verze problémů bez optimalizačního kritéria;Verze problémů bez optimalizačního kritéria.png
Řešení;Řešení.png
